Angle,AverageAngleError,BattCap,BattX,BattZ,bomCost,CompX,CompZ,CtrlGain_D,CtrlGain_P,Dist_1_2,Dist_1_3,Dist_2_3,GyroSize,GyroX,GyroZ,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels
169.603632462,0.00607414280373,251.6404313,778.065540269,152.969057569,235066.0,418.069823215,228.360742643,2.37931706633,1.39326514931,926.164576345,1979.13989615,1232.54415608,6.18963907036,264.838829766,116.044264913,376630067466.0,0,64589330099.0,132039414611.0,180001322756.0,6277.425472843556,0.189656827065,27.0297966183,0.178190564202,0,100,4.72069184885,3
163.439077041,0.00513130661197,293.093999097,556.86602986,65.4903943803,235066.0,978.025811252,80.7014248654,2.17423569879,1.32916283963,948.739657077,1970.58809223,1200.35535329,7.41096339875,987.481353185,33.4994972721,385604615351.0,3,63872715240.9,137136656934.0,184595243176.0,6277.425472843556,0.160991143949,27.02979689,0.149889580397,0,100,4.74859070222,3
156.339305287,0.008570566186,205.299226956,391.744112419,157.750821204,235066.0,981.201787508,4.36657009585,2.00551728165,1.85999096123,1045.69932543,2216.83823996,1192.57294492,6.30803165152,12.4314547376,312.515599784,370098074600.0,1,63886774406.1,130028254414.0,176183045780.0,6277.425472843556,0.211310008477,27.0297970427,0.134678546996,0,100,4.68469117982,3
150.339395961,0.0126012782292,32.2126286648,646.239603067,277.230362241,235066.0,908.000126851,48.1186506947,0.45119631502,2.25948953293,918.428412115,2116.96054542,1244.17481123,0.617618422984,134.65779978,98.750617022,365080305645.0,1,62841584852.4,128015578022.0,174223142770.0,6277.425472843556,0.222252986799,27.0297969192,0.0885946414543,0,100,4.56857397203,3
164.158944554,0.0101259256949,324.351121138,853.196569131,276.0415346,235066.0,867.446904939,207.291255821,2.01911878507,2.06440119782,852.894877991,2015.45868606,1181.54241057,4.93924021902,524.632408377,459.584609211,380038626290.0,1,65386020401.4,134284812589.0,180367793300.0,6277.425472843556,0.251791694473,27.0297974881,0.211515438182,0,100,4.765299529,3
163.574286518,0.0150442406536,67.9048186245,548.702272795,261.2221101,235066.0,320.068087551,480.214740205,1.84732008673,2.67550403791,907.045402779,2104.33779464,1200.27049247,6.67769969122,935.14068653,69.0903649535,384415590030.0,2,63981268818.3,136529260866.0,183905060346.0,6277.425472843556,0.363618443248,27.0297963116,0.124121488148,0,100,4.59032895238,3
159.84768001,0.0110030334456,95.9774236175,751.146643553,112.321254394,235066.0,566.061466448,156.064209822,2.71605268504,1.96626834717,871.016629539,2008.21611989,1139.49667639,1.10317647002,955.968657955,158.153752965,383392186466.0,2,63711002033.8,136364428795.0,183316755637.0,6277.425472843556,0.275515470461,27.029796295,0.223962134094,0,100,4.61331797765,3
165.366803813,0.00522844452246,175.151247643,136.158448654,38.0328183152,235066.0,298.68666242,312.392460642,1.57286163737,0.554282923297,907.848353861,2024.68698268,1257.02420431,7.8534087399,705.193770852,81.7209439329,379980139258.0,0,64104638539.7,134138625484.0,181736875235.0,6277.425472843556,0.0964054824773,27.0297960621,0.0668212215811,0,100,4.6694322703,3
167.794286029,0.0139446675937,31.1395076517,808.900743525,79.9985980481,235066.0,874.382770167,351.560754261,2.72247265916,2.37091604714,894.725600673,1970.25389816,1155.7469068,1.09955738433,844.871929186,362.942031236,386058064733.0,2,65183014651.5,136937204609.0,183937845472.0,6277.425472843556,0.342134810663,27.0297963112,0.234558467452,0,100,4.56892372659,3
157.746020983,0.00439476943243,299.711958384,578.166629566,165.708354797,235066.0,634.174180396,132.94904826,1.85390129735,0.733904927021,852.472883976,2031.65283021,1203.82331833,2.80569796534,137.530717153,140.597113414,370275431603.0,0,63498240442.2,129994114685.0,176783076475.0,6277.425472843556,0.121872289504,27.0297947332,0.10307057437,0,100,4.75643551735,3
162.955230605,0.0111805808722,49.2088635412,505.678184993,2.75175626879,235066.0,625.869401896,392.556091789,1.95309657961,2.19961985153,942.811406704,2069.77765066,1252.55818835,6.60506090185,5.6826455159,256.73300699,373442362744.0,0,64270553047.6,131101450433.0,178070359263.0,6277.425472843556,0.275321011005,27.0297961151,0.132673183361,0,100,4.57803381046,3
151.065581115,0.00641964233506,147.369734949,409.465808402,201.689503845,235066.0,817.352665984,326.561147025,2.53372507207,1.38896404811,951.033446236,2073.60048879,1143.94330916,1.41869422011,231.349682245,51.7530500235,365752907981.0,1,62840710469.4,128294205448.0,174617992063.0,6277.425472843556,0.206955504377,27.0297964915,0.192370948293,0,100,4.64989379961,3
152.104414123,0.0128560683547,35.229559347,715.502657877,142.206736439,235066.0,209.880148953,435.281362643,2.74482755369,2.21353254769,1031.52646988,1976.99454883,1197.16395637,5.36152115027,367.299247467,382.11489263,369698143981.0,0,63868542600.8,130183177913.0,175646423467.0,6277.425472843556,0.312270002682,27.0297962373,0.230551310403,0,100,4.5718945233,3
170.4551001,0.00472942338954,29.7669651789,999.312308044,252.630214411,235066.0,633.375186192,31.6662896081,1.35829113749,0.551823158381,951.438402217,2038.29192645,1433.49042436,5.37471366344,116.063985556,109.916523614,376564546808.0,1,64687800859.1,131918808664.0,179957937285.0,6277.425472843556,0.0814865478294,27.0297966188,0.0418932041409,0,100,4.56858888448,3
173.913629921,0.00861404503709,290.360373446,452.230899745,144.956987035,235066.0,885.059439806,470.563501094,1.94590935726,0.266287246107,1007.89887741,2044.79186762,1120.01801639,4.2962251564,446.972530272,141.392357793,379319007006.0,1,65102355587.0,132930407710.0,181286243709.0,6277.425472843556,0.159077040017,27.0297967725,0.111805062218,0,100,4.75422733276,3
156.185316159,0.00367870611502,290.779914613,62.5793260946,112.750840376,235066.0,20.9830951472,458.737358205,0.45497157839,0.667521428067,918.660392609,2048.97504153,1178.06896265,9.58361556576,424.874076241,65.9641460281,370853665367.0,0,63267921454.2,130419345122.0,177166398791.0,6277.425472843556,0.0895900106201,27.0297970066,0.0708069581372,0,100,4.74770311146,3
163.523633747,0.00671400269638,46.7643119531,817.255212361,287.745623366,235066.0,595.958889554,218.866783898,1.9280370487,1.62830071869,881.031416588,2017.12181749,1160.41664055,4.13300921039,989.8757469,38.0078994787,386037340506.0,2,63943670481.4,137344965164.0,184748704860.0,6277.425472843556,0.162753267684,27.0298076827,0.131430172553,0,100,4.57740871294,3
165.651772132,0.00643728729289,29.1354632357,686.340811194,142.703809101,235066.0,44.7160699339,106.569683566,0.773204254959,0.290538160644,1065.59278509,1970.25177853,1290.9787603,9.95116458507,44.3091658026,138.064210786,374211805788.0,0,64223162815.3,131226609462.0,178762033510.0,6277.425472843556,0.14824671398,27.0298428876,0.0407296984819,0,100,4.56843729737,3
155.313191149,0.00448296840965,241.053768852,852.414689621,70.923083659,235066.0,109.160562259,51.3796672749,1.33084044767,1.48822628515,1129.2956402,2046.74024491,1219.16937693,8.2249308417,522.610545259,421.926211848,374334747791.0,0,64313715596.0,132234628876.0,177786403320.0,6277.425472843556,0.109587672752,27.0297961585,0.0468910198807,0,100,4.7078999612,3
163.734356164,0.0126944794835,293.679839332,317.579743065,227.67681785,235066.0,152.002425197,101.308510836,2.03173233539,2.36912681233,875.148442957,1997.26906606,1143.27393731,2.83013180034,202.595696069,426.307038804,375728689920.0,0,65133202639.5,132170529689.0,178424957591.0,6277.425472843556,0.31183225138,27.0297960482,0.146372015587,0,100,4.74373889868,3
165.434313797,0.0149543918878,96.4578646385,592.524291514,24.6365281249,235066.0,620.542579354,75.6793177854,0.406351440749,2.50317150804,851.99201336,1986.30584508,1155.60806006,4.98908011686,874.307443949,64.9880272034,383738564657.0,1,64081393417.3,136011249513.0,183645921726.0,6277.425472843556,0.267694180389,27.0297967616,0.190952544555,0,100,4.6121324123,3
156.919527533,0.00830138038536,28.3659670987,272.019678296,150.97326725,235066.0,531.1515658,290.069390521,0.277603842867,1.76034201584,899.442642213,2022.29297756,1131.77160739,8.5680015422,128.926109645,73.3124540688,369297002274.0,0,63333289512.0,129577357610.0,176386355153.0,6277.425472843556,0.141629569617,27.0297958016,0.0808568227737,0,100,4.56620589772,3
163.032644695,0.0152891312916,205.496232604,700.867781329,149.802509321,235066.0,673.607913242,200.58181761,1.34718491956,2.66080478471,851.95166445,1979.46139614,1147.37317052,8.92551985531,633.960985563,389.778910483,380058664933.0,0,64854849180.9,134402273763.0,180801541989.0,6277.425472843556,0.339121550614,27.0297956386,0.104002052194,0,100,4.68318636623,3
164.469190999,0.0153604057877,170.301134147,337.411140379,261.322241294,235066.0,391.044231864,114.013911653,1.31460622005,2.66420701267,864.335729033,1975.35770555,1121.21054871,5.67396663121,389.46283583,259.394667109,376048052389.0,0,64459924452.1,132259657689.0,179328470248.0,6277.425472843556,0.33838897011,27.0297977142,0.101400161152,0,100,4.65940285016,3
155.915076855,0.00851321448421,268.84359843,148.720652822,160.024649273,235066.0,766.378721274,212.517862782,1.73526810941,0.218673994323,1052.02520264,1975.5292214,1343.79605458,7.22252701736,890.77976177,132.893207598,378940590846.0,3,63326841955.9,134486068916.0,181127679974.0,6277.425472843556,0.145327678478,27.0297960577,0.0824059873631,0,100,4.73840832881,3
151.91261748,0.00711125188621,40.4756910125,465.403233245,215.713448991,235066.0,777.627850704,245.024904453,1.55290761233,1.77049884056,906.004069069,1978.02766681,1212.22243118,4.56470490992,923.414253376,142.849685102,377078260362.0,3,63027087253.5,133888780463.0,180162392645.0,6277.425472843556,0.174283650711,27.0297962361,0.0762983104901,0,100,4.57137230351,3
150.060173576,0.00941307576154,215.593902867,519.425166433,204.225072391,235066.0,798.081605148,411.742746791,2.9576579464,1.6686721676,918.26629908,1991.01483169,1124.22141415,8.9066177958,531.762506353,300.7733923,369197456528.0,1,63351367974.9,130096154665.0,175749933887.0,6277.425472843556,0.278314547706,27.0297965828,0.248956437081,0,100,4.69702931246,3
155.464841935,0.0139762743215,107.799912135,577.596818086,155.966935668,235066.0,428.62791746,420.746956275,0.515508370854,2.41432613932,902.662834433,1998.39148023,1162.19457821,1.89927449788,763.878690164,404.150943526,378035392503.0,0,64264004408.7,134072022435.0,179699365659.0,6277.425472843556,0.255118984633,27.0297961391,0.0997819317858,0,100,4.6192247051,3
168.296693784,0.0127839189613,363.93461513,477.645970498,173.858712483,235066.0,555.499520127,445.918116474,0.648885799089,2.30593155962,895.866895521,1984.21146422,1122.05457433,8.89495807539,535.264069145,209.728232586,379142599110.0,0,64679456232.5,133428831721.0,181034311157.0,6277.425472843556,0.239677701709,27.0297958115,0.0911487339403,0,100,4.792894599,3
157.779309325,0.00805894183612,50.0218454435,983.111994083,79.7755485912,235066.0,705.266040066,184.946358349,2.70093974999,0.551797413301,900.421719745,2045.4329656,1400.24292681,5.57999790392,157.206211993,235.210078852,371383481994.0,2,63723089820.0,130545203781.0,177115188394.0,6277.425472843556,0.238252529303,27.0297962918,0.206678235553,0,100,4.58860190788,3
169.260641645,0.00791945527591,160.727516172,321.136771425,196.823902277,249066.0,581.836270559,362.74083599,2.24254212058,1.69301530687,904.429465321,2006.34136643,1129.40002143,1.08421284383,208.870709815,289.240025389,418318931103.0,0,68280258007.5,150292663045.0,199746010051.0,6525.486389342852,0.198953845421,38.0279701304,0.173716435104,0,100,4.71135908839,4
167.633238632,0.0177779064723,147.214080607,222.03568108,31.4613428242,249066.0,821.928285483,328.982772705,2.40771213809,2.92266705337,1082.07677087,2016.01859823,1158.0658175,4.3760138652,398.071739638,267.528586929,419210756256.0,1,68025233479.8,150879049587.0,200306473189.0,6525.486389342852,0.436094073075,38.027969434,0.209189886287,0,100,4.70043114381,4
172.788556086,0.0174860373638,53.093884232,85.0828560195,242.662143902,249066.0,719.346764238,323.833256641,2.85218406404,2.8160263641,1063.66322434,2027.66489443,1131.75369415,8.66124101367,240.318202379,291.328471815,419172613878.0,1,68609823379.6,150408003249.0,200154787249.0,6525.486389342852,0.434478732656,38.0279697306,0.269128127211,0,100,4.64276911174,4
175.428188165,0.00659640016991,383.947854798,177.370186547,62.8452600304,249066.0,776.484463626,399.228304574,2.54627246856,1.41052169161,1092.97368205,2020.78281482,1154.7164086,6.1592671618,457.780865935,81.2798787486,420369436516.0,1,68276757252.1,150767225618.0,201325453645.0,6525.486389342852,0.210104287544,38.0279691761,0.210603543529,0,100,4.870432427,4
