Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,PV_Panels,bomCost,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
1338.28533821,893.382114478,2089.34087441,383278414999.0,0,65621935106.9,134278737738.0,183377742154.0,6277.425472843556,3,235066.0,179.600899606,-948.82350174,275.012004226,-287.747503434,-389.711492808,694.711885503,42.6694928126
1332.03768235,948.834135819,2206.00429552,377481586991.0,1,65585545919.5,131401359543.0,180494681528.0,6277.425472843556,3,235066.0,179.416592502,668.693786124,269.764726396,992.751203394,-258.974328446,-868.177943306,-49.4204956739
1146.94939686,922.974903424,1981.39274719,381487470843.0,1,65516623189.3,133463953166.0,182506894488.0,6277.425472843556,3,235066.0,178.89212704,519.474804695,241.008548693,786.490818837,-374.788142776,574.318203731,-46.8787322292
1163.12856222,1205.18493855,2085.0098515,377268290466.0,1,65637003723.9,131250069282.0,180381217460.0,6277.425472843556,3,235066.0,179.807333027,-663.500269804,289.568049791,803.816571516,-215.458173321,120.90656219,-37.3967034702
1134.7480781,869.341475022,1970.0,376784425427.0,0,65428007242.2,131184436290.0,180171981894.0,6277.425472843556,3,235066.0,178.255392431,-188.353344266,182.358438776,-335.351496333,-272.39823507,-959.277557078,0.00383710362133
1155.28015532,895.9755785,1970.0,376898113705.0,0,65525051862.9,131174745601.0,180198316241.0,6277.425472843556,3,235066.0,178.843889109,-955.916283842,283.323555796,-956.172723398,-290.525835767,-17.2123935651,-44.3483059527
1282.15988444,1028.59493987,1970.58781824,377379029916.0,0,65588199972.0,131330867584.0,180459962360.0,6277.425472843556,3,235066.0,179.584945737,663.177927471,216.597069383,125.969159996,-201.721392624,77.8406923731,-40.2757952807
1144.00271406,956.668783319,2004.81244789,376882550170.0,0,65500079853.9,131175620735.0,180206849582.0,6277.425472843556,3,235066.0,178.767513942,-257.955107616,233.114156107,371.985149165,-254.860722009,-18.1660007967,-5.96689919991
1137.35290697,947.241491897,1999.71073846,378569315890.0,0,65617389977.3,131894152443.0,181057773470.0,6277.425472843556,3,235066.0,179.863486863,364.581238677,204.565305896,-67.7779616415,-217.820489857,343.339992421,7.79019452362
1204.78996432,1095.52665615,1989.01781699,378759673249.0,0,65504282305.5,132111835000.0,181143555943.0,6277.425472843556,3,235066.0,178.788228384,-235.862029864,239.193635691,648.432771373,-324.021136021,374.039119321,-43.816049442
1192.34848116,1078.3312432,1989.04070707,378149243947.0,0,65464019097.3,131833982096.0,180851242754.0,6277.425472843556,3,235066.0,178.546498791,634.445845932,194.36239,-532.342023326,-312.245033387,274.559527956,-16.1607332869
1335.10990129,943.125684248,1998.8239585,377322961971.0,0,65537295887.7,131344900955.0,180440765128.0,6277.425472843556,3,235066.0,179.215977728,702.974932006,184.240857266,338.226576558,-212.03881149,-608.101450045,-44.3847597225
1172.03892255,895.253133737,1986.26103421,377790007596.0,0,65615271482.9,131543305978.0,180631430136.0,6277.425472843556,3,235066.0,179.524083863,-778.275803099,281.030556108,-984.468491471,-369.498011455,250.008317552,42.7637369167
1167.2095566,914.064501979,1970.02132376,376958079816.0,0,65568149057.6,131161144176.0,180228786582.0,6277.425472843556,3,235066.0,179.227537857,187.126851145,279.2802452,-289.595597433,-383.324568179,-86.0381967645,9.16602748962
1182.94607703,959.306799016,2109.28110908,384314998693.0,0,65419546958.4,134969828197.0,183925623538.0,6277.425472843556,3,235066.0,178.076879896,403.288024277,187.425462817,-806.387634244,-164.491995149,752.87915914,36.602853117
1520.30960376,922.122504563,2110.86201286,389820056542.0,2,65647186517.3,137509230859.0,186663639166.0,6277.425472843556,3,235066.0,179.953309678,-712.738221313,270.590364094,233.64667402,-222.644679855,991.827679662,-27.755807615
1144.70406048,1060.72107462,2052.29135555,377027446591.0,0,65636394760.1,131131910456.0,180259141375.0,6277.425472843556,3,235066.0,179.787560365,-757.51791611,269.681855408,574.369998344,-387.916267841,-104.332313117,33.1498574274
1137.79230874,1009.68623375,2053.85080416,390109533166.0,3,65486083084.0,137790386767.0,186833063315.0,6277.425472843556,3,235066.0,178.756264526,912.440982103,188.034202791,400.963290313,-389.041925575,981.827410197,-46.5046880707
1129.75307597,969.410566771,2018.55055427,376919005677.0,0,65588383017.2,131084828276.0,180245794383.0,6277.425472843556,3,235066.0,179.725168732,-162.62887848,153.760285335,440.016615165,-282.847300852,-965.030692826,5.63191983788
1224.18440744,954.126306224,1971.32035155,380297227035.0,0,65536309157.9,132851701384.0,181909216493.0,6277.425472843556,3,235066.0,179.043012808,882.242388272,249.170608681,527.600292634,-293.921598798,455.462033529,-20.2081246754
1303.90773847,893.432402896,2063.90918219,381795623985.0,0,65465310105.3,133682729548.0,182647584332.0,6277.425472843556,3,235066.0,178.320182805,-504.463277727,275.175323285,-303.970454008,-384.662552183,615.278263832,15.9301719203
1321.91637887,885.519818941,2076.61203959,382566851709.0,0,65603300709.4,133919241878.0,183044309122.0,6277.425472843556,3,235066.0,179.633407558,-609.789859955,248.28481576,-676.485788648,-286.860978538,656.823844708,-13.3560783887
1150.51601122,911.397484056,1971.49803692,377311594819.0,0,65443517339.5,131433976358.0,180434101122.0,6277.425472843556,3,235066.0,178.379904116,-238.719385458,184.662853111,272.112117745,-278.432738412,195.765385367,8.69977184025
1143.4455583,1245.33640541,2102.60524317,384954420028.0,1,65445112882.7,135248167234.0,184261139912.0,6277.425472843556,3,235066.0,178.443867597,916.049988244,165.678391353,21.1123181911,-198.665646097,755.992450334,-16.5664725626
1254.59381352,932.140304598,1983.52049734,380545474415.0,0,65446180490.0,133073082732.0,182026211193.0,6277.425472843556,3,235066.0,178.183317001,-453.501260655,231.213411896,304.837506903,-325.12402141,532.374334599,40.994577934
1153.15689912,894.592952106,1970.00599135,376848127190.0,0,65460272529.1,131204458732.0,180183395929.0,6277.425472843556,3,235066.0,178.360266943,119.423394177,252.060712687,-851.394783404,-278.45771586,-894.348276891,4.85859514356
1276.14055121,1329.50867903,2014.74195317,380123731639.0,1,65638158840.3,132686345316.0,181799227483.0,6277.425472843556,3,235066.0,179.732564607,982.92092642,280.997829209,-122.040695648,-374.664506209,420.224237448,41.1913600382
1268.00140418,1028.81962869,1970.06360027,381033479639.0,0,65584914546.1,133157122856.0,182291442238.0,6277.425472843556,3,235066.0,179.593434203,-365.764064271,201.445074226,543.497663702,-275.119341432,559.327670583,-25.2228546463
1170.01387739,967.271993951,2052.63696238,381272662953.0,0,65444247116.3,133451744999.0,182376670838.0,6277.425472843556,3,235066.0,178.049463114,359.538258547,289.564070496,-427.919303191,-240.228671883,575.814403552,29.2621258453
1224.03172974,892.200137732,2012.76739581,379074006407.0,0,65468473673.4,132315106066.0,181290426667.0,6277.425472843556,3,235066.0,178.380578226,-200.66312365,271.14771946,-130.525002841,-193.773416812,412.713689661,-44.8906651577
1146.50355356,889.458619136,1970.07243116,376956825384.0,0,65632256194.3,131092229591.0,180232339598.0,6277.425472843556,3,235066.0,179.82573964,-668.384398493,261.985944576,-480.640731694,-230.345320433,-19.2759582726,16.8933124294
