Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,PV_Panels,bomCost,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
1121.66471376,2162.30554622,1204.62506337,287141781525.0,1,57738042373.7,93944002505.8,135459736645.0,6035.239756344258,2,209066.0,114.440971102,116.085791602,212.492749185,968.874466594,175.438476797,81.7467899174,263.015645619
1258.17522679,1998.23278299,962.530050181,308242761158.0,0,59084338505.4,104115089882.0,145043332771.0,6035.239756344258,2,209066.0,128.5117056,724.283352864,9.52973495143,296.982811351,155.743088391,392.047474708,476.674490427
1142.77668042,1997.40218802,934.273029926,297265808964.0,0,57641446400.7,98818838727.3,140805523835.0,6035.239756344258,2,209066.0,122.988851974,352.823408673,164.542499475,130.935149443,482.554598087,126.102685112,152.869675769
1137.24640244,2038.54626238,1083.22761397,188549655182.0,0,59431663715.7,43198221393.9,85919770072.1,6035.239756344258,2,209066.0,43.9526717311,1.5479640105,228.707155722,669.49155346,159.907264887,172.64176737,326.973580895
1177.18739677,1973.13953942,960.779556322,180603654454.0,2,59275670839.3,38842480490.8,82485503123.6,6035.239756344258,2,209066.0,30.4603838288,522.840778142,66.4585972151,925.735752684,262.093449261,871.683129425,164.841426358
1245.08119869,2041.53431736,852.85620048,257736941091.0,0,58210853316.5,79203527903.9,120322559870.0,6035.239756344258,2,209066.0,92.3111895621,610.270894156,163.351275994,572.069353436,105.004545294,108.82615972,374.01776514
1132.01840203,2065.79724019,969.041659992,253249159838.0,1,57697860521.2,76913972382.1,118637326934.0,6035.239756344258,2,209066.0,89.6308858777,394.80512117,148.062984353,854.637525206,76.6774185972,251.976415264,229.706252955
1147.03950841,1972.15970379,865.498455558,196833062107.0,0,58573833598.7,47499280697.6,90759947810.3,6035.239756344258,2,209066.0,48.9159253378,693.046863906,182.106219053,590.225889395,55.5541595141,504.339938282,21.8273056389
1143.7779292,2097.4059308,1015.45778161,338050361622.0,1,62012581011.1,114728829518.0,161308951092.0,6035.239756344258,2,209066.0,175.617865517,209.497971102,267.887603282,729.784411298,462.711950776,143.082015425,45.588543091
1121.01049966,1988.44798541,895.778905298,262773327251.0,0,57459245512.1,81765184596.1,123548897143.0,6035.239756344258,2,209066.0,95.4160547582,443.055454294,208.957872592,161.815440662,180.254181037,431.483225202,162.799191189
1345.71491869,1984.2635809,1057.91281352,214842796133.0,0,58478261294.7,56989798385.0,99374736453.4,6035.239756344258,2,209066.0,63.4316749525,840.553229531,121.581349971,278.952748485,406.685577742,104.839946063,245.171830642
1225.45430178,2068.01093326,865.400734232,339293228057.0,1,62056963339.0,115252648357.0,161983616361.0,6035.239756344258,2,209066.0,176.292498724,762.829551687,122.599701972,868.001135532,246.524553238,271.193199256,47.5534314793
1155.15425923,1987.71769045,930.378749817,219271990041.0,1,59010249302.0,59085085138.4,101176655601.0,6035.239756344258,2,209066.0,59.8639145062,956.067509564,103.910571189,598.512363938,227.437636838,829.545852715,356.840666211
1122.22658281,1970.45416994,852.473388282,157205272707.0,0,59671490817.6,26873738486.1,70660043403.2,6035.239756344258,2,209066.0,17.0542188223,21.9363333808,174.557271997,86.5373480331,168.426477972,82.7340355247,210.559252233
1258.73830957,1970.20764686,1029.99552361,314478634231.0,3,58041382369.4,107299976948.0,149137274913.0,6035.239756344258,2,209066.0,126.769950364,414.546774808,231.835074377,996.258525819,230.345986576,988.432586298,257.858282097
1199.03945916,2003.38830056,853.116282606,187140961555.0,0,59591756441.4,42417978333.7,85131226780.3,6035.239756344258,2,209066.0,41.4971298759,28.2749748857,135.780509757,100.944854201,140.926409906,397.850589684,351.904292757
1235.52621885,1977.29673659,1059.83942613,332671751467.0,1,60365001999.6,114630457212.0,157676292256.0,6035.239756344258,2,209066.0,153.934411005,56.1801277665,276.587584912,689.228082443,273.441754363,565.456739784,389.558244491
1190.53856373,2038.71068515,1234.68609465,295848055525.0,1,57399349251.9,98185359408.3,140263346865.0,6035.239756344258,2,209066.0,120.19665744,72.8441647514,189.351922385,962.78022294,89.53426534,441.861608579,25.6198306309
1198.0115969,2137.29306029,987.04443079,330574027208.0,2,58906747401.6,114311065131.0,157356214675.0,6035.239756344258,2,209066.0,145.368129506,510.364985776,26.9598045206,64.3907997641,256.880951363,892.214297915,214.103837616
1336.03834143,2015.23386589,902.682228707,232258543271.0,0,58360648142.4,65938147364.8,107959747763.0,6035.239756344258,2,209066.0,70.8809621804,61.6550076071,62.8592555837,349.639157184,159.814583523,754.220847835,288.582552409
1158.7235219,2007.43663388,994.930979757,340079060652.0,1,61811074723.8,116411973021.0,161856012907.0,6035.239756344258,2,209066.0,170.791817224,383.924764416,12.2827662959,858.732650017,217.08785962,480.439255481,293.218974744
1165.48251297,2099.53177724,1051.56738599,186802410003.0,2,59577518885.4,42012409710.7,85212481407.1,6035.239756344258,2,209066.0,33.2174530826,731.028712383,68.0484932323,265.968961963,476.721217824,966.987595439,287.759425009
1163.91860797,1976.42815828,947.356007234,305206537463.0,0,57663837230.6,102669710092.0,144872990140.0,6035.239756344258,2,209066.0,126.611943458,771.738837638,295.040766379,389.599079423,124.886102516,541.635799316,77.4192653199
1447.54120679,1980.86320611,1108.31920315,318612557918.0,1,58470195146.9,108507175894.0,151635186876.0,6035.239756344258,2,209066.0,142.942768933,978.850068785,93.3374799537,267.620665237,98.2559766546,62.0354050673,72.6875953012
