Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,PV_Panels,bomCost,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
None,None,None,None,None,None,None,None,None,2,209066.0,178.475520625,-869.490266754,285.925964932,-822.830459296,-258.605468784,440.962782144,-22.3113786125
None,None,None,None,None,None,None,None,None,2,209066.0,178.767223571,-516.137103304,255.407078406,311.759588977,-246.324757262,921.416770822,37.639670205
None,None,None,None,None,None,None,None,None,2,209066.0,179.060630123,-712.265833106,159.509477433,778.60360967,-374.918037099,353.850088974,-2.26372767631
None,None,None,None,None,None,None,None,None,2,209066.0,179.18322073,327.765837178,291.259311782,584.245234502,-156.122109031,-61.4370253628,36.8000728955
None,None,None,None,None,None,None,None,None,2,209066.0,179.359273739,348.031501475,227.273994915,705.688947513,-190.01084726,383.507657516,48.1578317549
None,None,None,None,None,None,None,None,None,2,209066.0,178.66641545,417.875952992,199.194652033,-147.884025277,-258.021123757,-511.736428941,44.729016789
None,None,None,None,None,None,None,None,None,2,209066.0,178.589948734,-741.826026221,292.753928934,-940.996512643,-362.40386349,-330.225785203,11.062463191
None,None,None,None,None,None,None,None,None,2,209066.0,179.396715711,-276.27112516,156.491328448,968.023521857,-195.268327869,-378.43212836,-3.3013305943
None,None,None,None,None,None,None,None,None,2,209066.0,178.483614784,-452.561557688,218.968352305,-10.7949569081,-295.096178977,505.029948377,-18.9213366491
None,None,None,None,None,None,None,None,None,2,209066.0,178.547542928,389.610298326,253.363557915,-262.317550056,-240.396231698,-389.019969407,25.3193550385
None,None,None,None,None,None,None,None,None,2,209066.0,179.787491665,826.882966433,184.109681851,819.103538791,-288.415966032,713.953974975,-37.1542059174
None,None,None,None,None,None,None,None,None,2,209066.0,179.524213153,722.203724274,255.693325464,150.390255646,-384.9099047,-214.637933818,-20.7997792469
None,None,None,None,None,None,None,None,None,2,209066.0,179.418133274,310.958977269,214.128007972,-409.471802555,-214.226338056,-52.800209616,-17.2243067654
None,None,None,None,None,None,None,None,None,2,209066.0,179.230796762,-782.628260089,227.953247233,711.194205358,-228.34486646,-738.133723427,29.6792692265
None,None,None,None,None,None,None,None,None,2,209066.0,178.40635365,-579.458791639,251.786154946,-627.748449087,-221.700577686,672.442684161,-12.5325345255
None,None,None,None,None,None,None,None,None,2,209066.0,179.116254086,-147.785348221,179.329512089,531.800294576,-197.815535838,-964.855467664,-8.77369772469
None,None,None,None,None,None,None,None,None,2,209066.0,178.678183606,-170.699901668,237.820417709,982.105201278,-154.820340371,-268.129505791,-17.1294862903
None,None,None,None,None,None,None,None,None,2,209066.0,178.365828068,19.895614978,238.272331628,962.202748978,-207.941066351,-216.223094476,-31.7674690718
None,None,None,None,None,None,None,None,None,2,209066.0,179.771782483,143.176506279,194.48024336,-45.4920808052,-292.720775164,-346.725049051,2.58575168187
None,None,None,None,None,None,None,None,None,2,209066.0,179.053733691,-668.842469172,160.385041215,-123.122944727,-259.704444166,776.591501273,-37.3983382139
None,None,None,None,None,None,None,None,None,2,209066.0,179.069770022,817.717663309,182.410839356,480.013130014,-359.725308226,208.062339544,-29.6491820803
