AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,GyroSize
0.085115328,1.756795032,16.03162373,5.350063353,None,100,4.527303973,2,209066,456.6276706,508.1163193
0.085115281,1.756797128,16.03162277,4.62883139,None,100,4.06294101,2,209066,127.3250512,439.7183751
0.085115174,1.756799004,16.0316227,4.743399639,None,100,4.005118701,2,209066,100.3277079,450.4145494
0.085115276,1.756795886,16.03162417,10.01890348,None,100,4.557155593,2,209066,489.3928159,951.5504369
0.085115124,1.756793303,16.03162351,0.971322768,None,100,4.506118284,2,209066,434.2342865,92.25421812
0.085115308,1.756804775,16.03162387,5.796905156,None,100,4.393195965,2,209066,337.9079083,550.5321224
0.085115304,1.756794909,16.03162277,1.112626776,None,100,3.987623286,2,209066,92.37822543,105.6708068
0.085115235,1.756798698,16.03162427,6.16360292,None,100,4.289399749,2,209066,260.5252192,585.3754554
0.085115281,1.756797478,16.03162344,10.21026748,None,100,4.30325938,2,209066,271.1148089,970.006705
0.085115312,1.756796484,16.03162344,4.976659694,None,100,4.292975515,2,209066,262.6253363,472.5749184
0.085115343,1.756796832,16.03162319,8.083107902,None,100,4.385737289,2,209066,332.7564811,767.6869632
0.085115249,1.75679674,16.03162291,4.50160267,None,100,4.324800269,2,209066,285.2156982,427.4142118
0.085115192,1.756797588,16.03162353,7.969270949,None,100,4.50772622,2,209066,439.1411263,757.0498389
0.085115292,1.756796929,16.03162383,1.107713608,None,100,4.420036308,2,209066,358.3310412,105.2037379
0.085115209,1.756795934,16.03162306,0.824683829,None,100,4.354978637,2,209066,306.6711104,78.32379989
0.085115196,1.756798177,16.03162276,0.930122465,None,100,4.309810904,2,209066,273.6627783,88.33553286
0.085115286,1.756796127,16.03162258,1.799932499,None,100,4.149451093,2,209066,172.4242638,170.9474899
0.085115177,1.756797502,16.03162325,8.888904572,None,100,4.23323861,2,209066,223.5979122,844.1982206
0.085115194,1.756796467,16.0316227,6.930866874,None,100,4.131791124,2,209066,163.2153982,658.2223937
0.085115289,1.756795258,16.03162371,2.050689115,None,100,4.455205202,2,209066,388.5761807,194.7619677
0.085115188,1.756799705,16.03162341,10.23319303,None,100,4.53694279,2,209066,468.9979132,969.9657217
0.085115247,1.756794782,16.03162258,2.056564875,None,100,4.207543009,2,209066,206.4135372,195.3205392
