AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,GyroSize,ixx
0.08511535,1.756796301,16.03162338,52.64628351,None,100,4.17428569,2,209066,197.8918746,553.8063179,1.949269533
0.085115286,1.75679574,16.03162294,52.64604361,None,100,4.30662137,2,209066,292.3443795,818.5873541,1.310946857
0.085115219,1.75679557,16.03162437,52.64557855,None,100,4.476748499,2,209066,447.6613829,411.899605,1.071753313
0.085115313,1.756795929,16.03162368,52.64575962,None,100,4.492301097,2,209066,464.3684687,412.8670924,1.826529984
0.08511534,1.756795438,16.0316227,52.64582562,None,100,1.528600311,2,209066,78.82585479,485.5258634,1.369005887
0.08511526,1.756799785,16.03162322,52.64736381,None,100,4.240041561,2,209066,242.3021395,974.6040617,1.235335709
0.085115234,1.756801149,16.0316229,52.64521701,None,100,4.216864607,2,209066,226.0785191,852.9917259,1.85849862
0.085115246,1.756795392,16.0316228,52.64575949,None,100,4.151372382,2,209066,183.5260963,996.0383338,1.554325044
0.085115258,1.756795907,16.03162528,52.64579673,None,100,4.269960617,2,209066,264.1512478,520.7047239,0.881840187
0.085115255,1.756798871,16.03162277,52.64958465,None,100,4.121214626,2,209066,165.5471518,195.0689315,1.460240387
0.085115291,1.756796155,16.03162405,52.65916243,None,100,4.443439818,2,209066,413.6129546,388.2869885,1.793938773
0.085115327,1.756796638,16.03162276,52.64721417,None,100,4.122841138,2,209066,166.5230401,160.2413624,0.991117734
0.085115174,1.756802384,16.03162323,52.63134056,None,100,4.502026281,2,209066,475.0490236,387.0673379,1.147127114
0.085115315,1.756801284,16.03162278,52.62439074,None,100,4.174370991,2,209066,197.9554253,55.75413623,1.73591719
0.085115242,1.756797864,16.03162277,52.64629291,None,100,4.050557378,2,209066,127.1166503,435.5836318,0.986030862
0.08511525,1.756797766,16.03162353,52.64223302,None,100,4.470961548,2,209066,441.6311732,503.2624485,1.364336607
0.085115239,1.756796585,16.03162277,52.64814893,None,100,3.537840255,2,209066,99.53382332,550.9817795,1.901600535
0.085115273,1.756797161,16.03162525,52.65168121,None,100,4.461961757,2,209066,432.3599867,556.1525251,1.275283544
0.085115301,1.756798883,16.03162396,52.64600533,None,100,4.507299774,2,209066,480.8343838,294.7274026,1.12900379
0.085115248,1.756800327,16.03162348,52.63280622,None,100,4.458514432,2,209066,428.8900044,499.1143459,1.216671875
0.085115132,1.756794189,16.031624,52.64618738,None,100,4.463204096,2,209066,433.6047696,86.65286889,1.231745587
0.085115208,1.756795567,16.03162282,52.64576207,None,100,4.123547931,2,209066,166.931713,619.7631662,1.230977732
0.085115296,1.756799421,16.03162404,52.63746484,None,100,4.420067202,2,209066,390.924472,931.4142154,1.76491076
0.085115193,1.756801061,16.03162429,52.6579541,None,100,4.445383686,2,209066,415.5587497,855.3256797,1.962158154
0.085115316,1.756795364,16.03162347,52.64615258,None,100,4.314386408,2,209066,298.5588583,768.0915209,1.516559298
0.085115362,1.756796272,16.03162277,52.63433762,None,100,4.318199461,2,209066,301.5600114,726.8787026,1.26802587
0.085115314,1.75679587,16.03162277,52.64675363,None,100,4.175669013,2,209066,198.7594381,651.1580288,0.910298906
0.085115331,1.756798634,16.0316244,52.64735266,None,100,4.410829349,2,209066,382.1985399,274.4557772,1.436065348
0.085115303,1.756797882,16.03162275,52.65582047,None,100,3.747782653,2,209066,103.7506667,415.0821537,1.676926566
