PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,Angle,BattCap,BattX,BattZ,CompX,CompZ,CtrlGain_D,CtrlGain_P,GyroSize,GyroX,GyroZ
3,235066,921.2302803,2048.29616,1144.88664,3.74233E+11,0,65048681888,1.31646E+11,1.77539E+11,6277.425473,161.3656755,99.0326573,85.10585044,224.4446216,379.800558,26.15125624,1.648940316,2.918024383,3.222013669,13.25817463,450.7261492
3,235066,958.4622064,1994.845832,1158.645042,3.79195E+11,0,65903140143,1.33419E+11,1.79873E+11,6277.425473,168.6535232,98.51189934,422.3451807,193.5285426,22.95788118,384.9432391,1.176036197,2.628235659,2.067197321,324.060861,473.5259097
3,235066,875.3238966,1971.41762,1154.734874,3.69174E+11,0,62975522604,1.29861E+11,1.76338E+11,6277.425473,152.8421744,87.82993585,284.3128423,242.5681672,438.1238256,101.0262817,2.735527236,1.57770049,1.136194511,474.8866094,35.94225522
3,235066,938.7057947,2012.542832,1213.642508,3.72123E+11,0,64846465342,1.3105E+11,1.76227E+11,6277.425473,156.2317508,120.1479894,106.7058722,34.59640226,466.7243235,205.052507,0.537174504,1.535092994,4.03801518,176.4008827,496.8417305
3,235066,889.9952934,2002.827836,1124.679164,3.74597E+11,0,63979814966,1.31557E+11,1.7906E+11,6277.425473,164.2296615,214.0300271,319.6593791,135.3526481,349.277471,397.4869476,2.586977418,1.687516033,1.866453679,346.2007479,36.36387306
3,235066,1167.023478,1974.318677,1344.320439,3.75651E+11,1,63363877642,1.33016E+11,1.79271E+11,6277.425473,153.8470134,169.9510855,42.2852715,222.9598572,833.9244869,335.8808466,2.146139493,0.648313898,0.733543322,785.7415969,214.5851415
3,235066,1022.736272,2026.321971,1152.291864,3.72089E+11,0,63449301273,1.30845E+11,1.77794E+11,6277.425473,158.3719407,138.0149484,143.8897689,108.4915083,556.6152475,499.8317199,1.978429347,1.035186361,4.947892193,408.2055877,49.21513935
3,235066,928.6569258,2023.663358,1138.044835,3.82117E+11,0,64755546235,1.34756E+11,1.82606E+11,6277.425473,169.8677588,50.3795633,542.1139349,299.1060601,244.7131511,72.26589702,2.990060991,1.708478087,4.35123219,697.2322374,169.9381134
3,235066,1004.311572,2017.442388,1476.294906,3.9172E+11,2,66391994117,1.39023E+11,1.86305E+11,6277.425473,174.9122467,101.3750952,38.54789119,274.3597977,551.0670135,427.5455777,0.419348633,0.81481619,3.858633895,985.8009965,440.9677319
3,235066,974.1864108,1973.067261,1236.622808,3.84146E+11,1,65078757535,1.35329E+11,1.83739E+11,6277.425473,174.0530514,299.0822448,251.3288103,40.14595963,727.2901115,40.09263039,0.740567613,1.226391575,3.17824684,765.3324843,143.2778713
