PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,Angle,BattCap,BattX,BattZ,CompX,CompZ,CtrlGain_D,CtrlGain_P,GyroSize,GyroX,GyroZ
2,209066.0,1183.48040034,1973.30853964,919.502211154,167760891735.0,0,60258722218.0,32292925609.7,75209243907.3,6035.239756344258,2.1879267825e-09,7.59288664165e-08,16.0316251475,0.00113112908038,None,100,4.49417299919,24.8702054707,464.916058653,641.884869286,244.134731942,372.552825293,468.733410469,0.687090493624,0.800819780703,784.813020831,288.831466086,391.033174691
2,209066.0,1144.24320843,2018.42524853,975.14119072,295527487681.0,2,58327371756.8,98161467101.0,139038648824.0,6035.239756344258,1.96364506569e-09,6.81089601384e-08,16.031624382,0.0012202863821,None,100,4.52450899111,112.5393185,497.124274882,952.423544364,196.543912487,474.742230782,181.681056312,0.72761901102,0.540790758951,846.639579316,851.480397092,407.974754743
2,209066.0,1280.05364552,1983.3441151,935.248795171,310776238117.0,0,59086058094.9,105506595151.0,146183584871.0,6035.239756344258,2.00608498523e-09,6.94332846773e-08,16.0316232461,0.0130502757938,None,100,4.36811259108,125.125611433,347.95096059,305.460447134,144.534698559,627.459034994,364.778241675,0.171470481323,0.450555235302,841.125485231,818.530205529,492.2368102
2,209066.0,1159.80320827,2131.91906867,1032.1814821,220358932663.0,0,58112888984.3,59739230023.4,102506813655.0,6035.239756344258,4.19445955382e-09,1.69154345198e-07,16.031627519,0.538914439976,None,100,4.16242367047,63.1716674925,200.699812776,457.870895086,51.8855554046,77.4000868509,497.015397218,0.343976893197,0.869894500124,401.334568869,759.103855358,50.4071937906
2,209066.0,1147.7598308,1995.82414677,979.905218675,342985944478.0,1,63135355371.9,116565670798.0,163284918308.0,6035.239756344258,6.27467601318e-09,2.1652114246e-07,16.0316228687,0.00160879061516,None,100,4.0335809144,179.863643334,130.962120401,371.696463905,76.704855631,812.273480167,285.525664766,0.806226726414,0.946501233757,288.517832433,492.444706181,296.642326727
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,125.656854143,95.4917238505,977.222873045,44.5561896356,35.3729913797,241.462167256,0.44130715494,0.978895818939,591.040643922,984.191801276,25.0750275741
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,97.6972699245,168.278283746,776.848089774,292.678114698,802.581595011,110.964669446,0.132958980301,0.177282783054,969.257474443,376.405280935,379.173480793
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,104.544184356,434.208981203,680.107543337,202.51964091,472.919038996,357.841388165,0.561783231697,0.644650623845,304.941480554,32.0791243831,173.904088386
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.8443324498,170.940883601,868.218295707,56.1836032382,188.157919869,334.293026662,0.52779503092,0.865016677356,397.660763207,155.209204699,20.6780936381
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.0240312177,253.171651147,504.97111163,38.4042472734,539.694374373,464.905903413,0.455656629911,0.364731755088,427.237897942,874.341770554,127.918127447
