Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
1201.62937216,1018.30575513,2192.26777485,388009884236.0,2,65667692033.4,136559762343.0,185782429860.0,6277.425472843556,179.700750934,494.418910638,163.925445629,-619.905315394,-289.571094796,908.38290014,29.2147800187
1133.22099055,891.860310486,1995.0,375085239149.0,0,64554090078.5,131206295108.0,179324853962.0,6277.425472843556,169.492554859,-57.6848531562,172.597257856,-532.571068021,-393.270031769,-890.929972022,-46.7670508753
1412.69117992,1227.56725674,1995.0,375574392914.0,0,64537851324.0,131504265011.0,179532276579.0,6277.425472843556,168.970806082,808.808162027,295.170674128,-635.196481746,-192.73083961,-645.444070722,-23.9697656693
1163.30173083,915.119681452,2003.10150381,379956232940.0,0,64859431199.3,133365659427.0,181731142314.0,6277.425472843556,172.142024554,365.448730049,267.969560208,368.817139658,-165.943116441,548.37588046,12.2185590332
1135.81577828,1078.93242893,2083.94282647,374035727342.0,0,64246715872.5,130993074259.0,178795937211.0,6277.425472843556,166.401665812,-330.946468606,188.884838444,602.32275733,-183.128305833,-694.345412561,-7.52780695625
1157.9680059,912.723568939,2000.71445253,372014980740.0,0,63793064182.5,130457845476.0,177764071082.0,6277.425472843556,161.447531763,-737.757204048,259.690803258,-189.590306751,-305.215698236,150.931363129,7.28314429081
1232.82501354,1046.50221221,1996.1734353,379555673861.0,0,65618007241.1,132408624019.0,181529042602.0,6277.425472843556,179.034923975,-992.909249137,277.680921673,502.429284484,-262.212213361,433.994031938,-48.5291896053
1514.53748999,932.408057456,2158.35974816,388204187467.0,2,64747662508.8,137604651487.0,185851873471.0,6277.425472843556,171.048146893,-465.467056816,280.863072946,157.720385061,-247.169859492,981.412972984,4.72472891792
1146.18095713,908.270767169,1995.0,376347737761.0,0,65051048718.7,131340063268.0,179956625774.0,6277.425472843556,174.210659285,173.971579495,170.483653239,-902.909658941,-170.542099359,-262.341162724,-25.5290324664
1185.52395995,1019.31543879,2165.65607684,372315100862.0,1,63844607538.4,130530460586.0,177940032737.0,6277.425472843556,162.276852115,348.743070852,171.596416496,842.639450274,-378.826540178,-93.5700496106,-33.8221218475
1406.11627323,903.979052244,2130.29783386,374468287352.0,1,64204048664.1,131258924365.0,179005314323.0,6277.425472843556,165.899043134,822.761163482,214.072515056,747.090262907,-203.991098457,-296.983171942,-29.2652072691
1146.09802644,1342.44312274,2222.23104058,375529040165.0,1,64661696153.5,131364883765.0,179502460246.0,6277.425472843556,170.107153423,-65.9859312044,282.462740218,978.132576991,-153.783381406,-833.450571439,39.2741586579
1283.47475544,912.777160423,2048.25855608,375966379163.0,0,64747891272.1,131469164643.0,179749323248.0,6277.425472843556,171.206694402,582.602954154,231.26012552,464.045377701,-258.532841953,-669.073670861,-4.89689557034
1161.6417067,1032.3604524,2100.75703827,378817231099.0,0,64043471427.4,133619505267.0,181154254404.0,6277.425472843556,163.983408986,473.542824039,275.500086174,-584.281272654,-224.237057687,657.540697543,28.2022146061
1160.63148987,969.568998772,2024.81544208,374433842600.0,0,64375233377.5,131098130571.0,178960478652.0,6277.425472843556,167.346412139,54.9960755536,299.400879996,346.197305698,-381.138024079,-446.234920322,-28.8142127734
1269.80942887,948.11815516,2141.59545693,373709142808.0,1,64117504307.2,130983469331.0,178608169169.0,6277.425472843556,164.833035222,533.643790653,270.62943364,778.720810774,-194.049804855,-211.212538753,-24.1440638082
1176.75369088,1094.7796551,2209.36077648,376307870131.0,1,64928214031.8,131453612421.0,179926043678.0,6277.425472843556,172.968797176,319.788285595,192.315606089,949.019722243,-165.200780431,-379.008179705,24.7306980959
1144.44806946,1063.66195535,2071.33178694,373561382345.0,0,64143911222.8,130871865612.0,178545605510.0,6277.425472843556,165.220906417,-483.257519813,235.289999109,557.126890019,-252.411262062,-569.409695287,-22.3926408362
1136.71070907,901.501301414,1995.13126111,374304247326.0,0,64336214209.7,131049707915.0,178918325202.0,6277.425472843556,167.182614643,19.2675932499,216.121161161,-478.250632738,-247.11845891,-891.080172037,22.8855640948
1166.7267759,1123.7747654,2164.19577445,385608011751.0,1,64933201167.3,136116420368.0,184558390215.0,6277.425472843556,172.849413297,652.127072876,268.281576265,-662.769671019,-232.723586716,838.879222634,-42.1410480346
1372.4766761,1183.95600133,1995.11317758,377546081540.0,0,65592054736.3,131402345185.0,180551681619.0,6277.425472843556,179.0479609,778.933369895,171.434005846,-455.726085759,-177.450612768,-541.766917617,21.2506788763
1173.69644502,901.799892575,2012.03909645,376804250450.0,0,64818046716.6,131813969609.0,180172234125.0,6277.425472843556,171.912015013,-365.957388994,217.771842056,13.9093873187,-307.404302938,275.206776562,-12.54802729
1154.13324525,889.906536693,2007.81968905,372993094166.0,0,63886326784.0,130825454072.0,178281313309.0,6277.425472843556,162.744074721,-591.209436757,162.199395956,-288.529954452,-317.468917906,226.527931481,-1.56111356075
1181.40025078,952.329539886,1995.0,371418281187.0,0,63726449739.1,130222058919.0,177469772529.0,6277.425472843556,160.770855555,281.542376282,249.079190012,-23.4975928321,-329.704558768,-279.720787833,-23.9444057368
1141.97003116,1007.89876083,2043.65720325,374383613838.0,0,64348998023.8,131077794375.0,178956821440.0,6277.425472843556,167.298649833,-127.74293261,231.962999748,443.202074483,-171.37808176,-327.639321832,9.03800772337
1163.73123615,930.320047078,1995.0,374661995849.0,0,64422542893.4,131143048976.0,179096403980.0,6277.425472843556,168.034659586,212.763749769,233.670658789,-155.389679845,-287.23299326,-621.09352244,-18.1158836425
1146.35633156,1151.22146583,2110.96456811,377106122933.0,1,65544035856.7,131280593850.0,180281493226.0,6277.425472843556,178.180595608,-451.599951595,293.106630231,688.312695444,-216.093841623,-391.848833545,48.7036046761
1132.91181234,961.931597484,2027.46713515,377071318552.0,0,65683716828.3,131069203450.0,180318398273.0,6277.425472843556,179.886455495,-676.871884989,170.556190541,361.383430868,-255.884428164,-328.135191848,0.000702378380382
1173.78481644,946.634478998,1995.04100343,373198597659.0,0,64076204663.4,130775905135.0,178346487861.0,6277.425472843556,164.339776692,222.268510418,284.760506575,-212.642094476,-158.785860132,-955.97521353,12.7908307196
1375.65380876,1185.30551556,1995.18212559,375973185485.0,0,64684460353.4,131548598116.0,179740127016.0,6277.425472843556,170.477407476,765.432109262,254.26862148,7.36111433882,-174.165975577,-925.020819867,25.9331497105
1167.77840117,935.377674658,1995.0,373928504674.0,0,64232147747.5,130969122000.0,178727234927.0,6277.425472843556,166.101307152,225.712953211,241.578262685,-595.316883797,-272.85786904,-109.791274952,-43.6958232651
1233.8307096,1184.38866222,2015.32024609,379740358975.0,1,65224201528.2,132899345825.0,181616811622.0,6277.425472843556,175.468503624,2.61089036324,243.748014542,762.701943205,-323.034954669,480.960268538,45.9600160591
1243.81373019,1106.53211018,2000.74335525,377433695228.0,0,64413130964.6,132554643004.0,180465921260.0,6277.425472843556,167.779120352,-738.058026175,282.893529163,615.43444982,-261.840738121,464.020081792,4.76054102381
1145.57981546,907.512045974,1995.0,375746280492.0,0,64792100982.0,131317795420.0,179636384090.0,6277.425472843556,171.600524271,-831.360968315,240.73452928,-891.701055476,-202.609544438,-336.307318257,-24.0826134447
1140.93184959,901.637668587,1995.0,374697902617.0,0,64442140493.0,131136636230.0,179119125894.0,6277.425472843556,168.275803603,-876.434209834,217.544214851,-107.012180269,-181.712594291,-322.675350236,-8.54728652261
1375.26852476,1318.43023274,2003.99239356,385010348757.0,1,65695930069.6,135045417728.0,184269000959.0,6277.425472843556,179.82801898,-944.32455353,225.205687348,960.164401017,-346.327880762,771.824376236,22.1031333365
1155.3907521,903.23540922,2003.76337968,376653530065.0,0,64986929528.7,131571459095.0,180095141442.0,6277.425472843556,173.482366581,12.6179867707,223.718552827,-186.668796229,-219.311906849,187.19690634,-13.9865760048
1197.54322358,972.283277831,1995.0,374511718165.0,0,64343898449.4,131124435914.0,179043383802.0,6277.425472843556,167.472552603,396.350016353,150.387622118,-269.529230766,-358.041484384,-234.337302754,-5.21757668416
1374.56434363,904.311075234,2177.83803265,377407724736.0,1,65333804120.2,131597048821.0,180476871794.0,6277.425472843556,176.700501167,772.264859739,204.739777139,873.433750455,-347.121736691,-127.222287696,8.18413312737
1516.26489408,1345.46803345,1995.0,375800063887.0,1,64507627443.3,131627795696.0,179664640748.0,6277.425472843556,168.865909797,994.396889234,236.292309892,-425.564935756,-321.745442729,-332.078360371,-9.66469139267
