AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,GyroSize
0.085115232,1.756801539,16.03162282,9.161633969,None,100,4.019842789,2,209066,107.2421529,869.9677115
0.085115214,1.756795298,16.03162265,6.580692633,None,100,4.12038397,2,209066,156.9836978,624.4377935
0.085115301,1.756796413,16.0316233,9.329977824,None,100,4.546003635,2,209066,477.6312856,886.1085708
0.085115292,1.756796496,16.03162395,3.967480843,None,100,4.340838117,2,209066,296.8895862,376.8964036
0.085115252,1.756796424,16.0316235,7.620165288,None,100,4.184952126,2,209066,193.6750455,723.714848
0.085115271,1.75679643,16.03162344,2.716844494,None,100,4.442972316,2,209066,378.2335857,258.0305222
0.08511518,1.756796478,16.03162342,1.930505237,None,100,4.493482921,2,209066,422.877534,183.1327287
0.085115146,1.756796282,16.03162354,9.079281282,None,100,4.41756534,2,209066,359.0469947,862.3019039
0.085115298,1.75679577,16.03162285,6.399373195,None,100,4.557756648,2,209066,487.6580533,607.7770523
0.085115228,1.756796501,16.03162271,4.542865278,None,100,4.0185092,2,209066,106.3126928,431.464177
0.085115207,1.756795881,16.03162268,8.897444043,None,100,3.902280046,2,209066,57.52232118,844.4081253
0.085115243,1.756803565,16.03162421,5.792237366,None,100,4.540823255,2,209066,470.2420695,550.1171136
0.085115281,1.756795208,16.03162262,5.386299609,None,100,4.040632158,2,209066,116.6482788,511.5557316
0.085115157,1.756796149,16.03162272,5.92810937,None,100,3.937042764,2,209066,71.43309948,563.0151558
0.085115225,1.756796442,16.03162301,9.474456278,None,100,4.39205699,2,209066,338.214138,899.829231
0.085115207,1.756795536,16.03162331,2.215885046,None,100,4.530868297,2,209066,458.4813924,210.4521192
0.085115329,1.756795927,16.03162265,3.425228501,None,100,4.198452532,2,209066,201.1448508,325.308546
0.08511524,1.756798639,16.03162398,1.446043383,None,100,4.419144796,2,209066,357.6833711,137.273877
0.085115222,1.756799733,16.03162303,4.752572446,None,100,4.067035914,2,209066,129.3566373,451.4446251
0.085115278,1.756796934,16.03162349,7.758588283,None,100,4.508362316,2,209066,439.6190252,736.8623451
0.085115203,1.756793402,16.03162313,8.903608089,None,100,4.50403902,2,209066,436.1771163,845.6059263
0.085115165,1.756795681,16.03162276,1.719995461,None,100,4.254959297,2,209066,236.3827291,163.3515128
0.085115209,1.756798997,16.03162273,4.904616953,None,100,4.189051678,2,209066,195.6947697,465.6977348
0.085115246,1.756795904,16.03162316,5.135655622,None,100,4.556596292,2,209066,485.6461322,487.7569081
0.085115258,1.75679557,16.03162401,8.198135232,None,100,4.433687915,2,209066,372.3724593,778.6152908
0.085115276,1.756803732,16.03162438,1.892760606,None,100,4.466741063,2,209066,398.6577359,179.6606007
0.085115218,1.756799254,16.03162259,0.862499058,None,100,4.121579041,2,209066,157.0379481,81.94311236
0.085115206,1.756798861,16.03162264,3.987007162,None,100,3.971002567,2,209066,85.42359443,378.6634321
0.085115241,1.75680346,16.03162359,3.131559577,None,100,4.256451036,2,209066,237.6177322,297.4190915
0.085115229,1.756795796,16.0316227,2.539148288,None,100,4.046115804,2,209066,119.0433835,241.1481709
0.08511521,1.756799272,16.03162272,6.05073274,None,100,3.972184917,2,209066,86.05737659,574.8904971
